Empresa,Anio,Modulo,Semana,Flor_por_Abrir,Flor_Abierta,Flor_Cerrada,Fruto_Cuajado,Flor_Acumulada,Indice_cuajado
Arato I,2022,4,38,63,4,26,7,37,0.189189189
Arato I,2022,4,39,53,1,36,10,47,0.212765957
Arato I,2022,4,40,50,6,24,19,50,0.38
Arato I,2022,4,41,49,4,30,17,51,0.333333333
Arato I,2022,5,32,100,0,0,0,0,0
Arato I,2022,5,33,99,1,1,0,1,0
Arato I,2022,5,34,90,2,8,0,10,0
Arato I,2022,5,35,88,3,8,0,12,0
Arato I,2022,5,36,70,3,24,2,30,0.066666667
Arato I,2022,5,37,66,3,28,3,34,0.088235294
Arato I,2022,5,38,49,6,35,10,51,0.196078431
Arato I,2022,5,39,41,7,34,18,59,0.305084746
Arato I,2022,5,40,35,5,29,32,65,0.492307692
Arato I,2022,5,41,25,6,30,40,75,0.533333333
Arato I,2022,6,32,97,1,2,0,3,0
Arato I,2022,6,33,90,3,7,0,10,0
Arato I,2022,6,34,85,1,13,0,15,0
Arato I,2022,6,35,84,2,14,0,16,0
Arato I,2022,6,36,79,3,16,2,21,0.095238095
Arato I,2022,6,37,71,4,21,4,29,0.137931034
Arato I,2022,6,38,59,3,32,6,41,0.146341463
Arato I,2022,6,39,47,6,38,9,53,0.169811321
Arato I,2022,6,40,36,10,31,23,64,0.359375
Arato I,2022,6,41,26,6,36,31,74,0.418918919
Arato I,2022,7,32,99,0,1,0,1,0
Arato I,2022,7,34,93,2,5,0,7,0
Arato I,2022,7,35,87,3,10,0,13,0
Arato I,2022,7,36,79,6,13,1,21,0.047619048
Arato I,2022,7,37,71,3,24,2,29,0.068965517
Arato I,2022,7,38,54,2,37,7,46,0.152173913
Arato I,2022,7,39,41,7,31,21,59,0.355932203
Arato I,2022,7,40,38,6,33,23,62,0.370967742
Arato I,2022,7,41,33,8,34,25,67,0.373134328
Arato I,2022,8,31,100,0,0,0,0,0
Arato I,2022,8,32,98,1,1,0,2,0
Arato I,2022,8,33,95,1,5,0,5,0
Arato I,2022,8,34,86,2,12,0,14,0
Arato I,2022,8,35,86,2,12,0,14,0
Arato I,2022,8,36,78,4,17,1,22,0.045454545
Arato I,2022,8,37,62,5,30,4,38,0.105263158
Arato I,2022,8,38,50,5,39,7,50,0.14
Arato I,2022,8,39,37,3,43,17,63,0.26984127
Arato I,2022,8,40,35,5,26,34,65,0.523076923
Arato I,2022,8,41,31,7,25,37,69,0.536231884
Arato I,2022,9,32,100,0,0,0,0,0
Arato I,2022,9,33,95,1,5,0,5,0
Arato I,2022,9,34,90,3,7,0,10,0
Arato I,2022,9,35,84,1,15,0,16,0
Arato I,2022,9,36,74,5,20,1,26,0.038461538
Arato I,2022,9,37,64,4,25,6,36,0.166666667
Arato I,2022,9,38,47,4,39,9,53,0.169811321
Arato I,2022,9,39,40,4,39,17,60,0.283333333
Arato I,2022,9,40,39,4,28,29,61,0.475409836
Arato I,2022,9,41,31,2,36,30,69,0.434782609
Arato I,2022,10,32,100,0,0,0,0,0
Arato I,2022,10,33,100,0,0,0,0,0
Arato I,2022,10,34,97,0,3,0,3,0
Arato I,2022,10,35,92,1,7,0,8,0
Arato I,2022,10,36,89,1,10,0,11,0
Arato I,2022,10,37,75,3,21,0,25,0
Arato I,2022,10,38,47,5,32,16,53,0.301886792
Arato I,2022,10,39,30,5,31,34,70,0.485714286
Arato I,2022,10,40,27,2,37,33,73,0.452054795
Arato I,2022,10,41,26,2,34,38,74,0.513513514
